RAIN,DATE,TMAX,TMIN,PRCP,PREV_PRCP_1,PREV_PRCP_2,PREV_PRCP_3,PREV_PRCP_4,PREV_PRCP_5,PREV_PRCP_6,PREV_PRCP_7,PREV_PRCP_8,PREV_PRCP_9,PREV_PRCP_10
FALSE,1948-03-03,52,28,0,0,0.19,0,0,0,0.09,0.98,0.05,0,0.11
FALSE,1948-03-04,57,31,0,0,0,0.19,0,0,0,0.09,0.98,0.05,0
FALSE,1948-03-05,47,40,0,0,0,0,0.19,0,0,0,0.09,0.98,0.05
TRUE,1948-03-06,47,41,0.06,0,0,0,0,0.19,0,0,0,0.09,0.98
TRUE,1948-03-07,42,34,0.16,0.06,0,0,0,0,0.19,0,0,0,0.09
TRUE,1948-03-08,42,33,0.11,0.16,0.06,0,0,0,0,0.19,0,0,0
FALSE,1948-03-09,47,33,0,0.11,0.16,0.06,0,0,0,0,0.19,0,0
FALSE,1948-03-10,51,31,0,0,0.11,0.16,0.06,0,0,0,0,0.19,0
TRUE,1948-03-11,51,31,0.08,0,0,0.11,0.16,0.06,0,0,0,0,0.19
TRUE,1948-03-12,60,37,0.06,0.08,0,0,0.11,0.16,0.06,0,0,0,0
TRUE,1948-03-13,54,35,0.02,0.06,0.08,0,0,0.11,0.16,0.06,0,0,0
FALSE,1948-03-14,52,34,0,0.02,0.06,0.08,0,0,0.11,0.16,0.06,0,0
FALSE,1948-03-15,52,36,0,0,0.02,0.06,0.08,0,0,0.11,0.16,0.06,0
FALSE,1948-03-16,50,33,0,0,0,0.02,0.06,0.08,0,0,0.11,0.16,0.06
TRUE,1948-03-17,50,36,0.01,0,0,0,0.02,0.06,0.08,0,0,0.11,0.16
TRUE,1948-03-18,48,35,0.13,0.01,0,0,0,0.02,0.06,0.08,0,0,0.11
FALSE,1948-03-19,47,33,0,0.13,0.01,0,0,0,0.02,0.06,0.08,0,0
TRUE,1948-03-20,44,33,0.06,0,0.13,0.01,0,0,0,0.02,0.06,0.08,0
TRUE,1948-03-21,46,37,2.04,0.06,0,0.13,0.01,0,0,0,0.02,0.06,0.08
TRUE,1948-03-22,44,30,0.03,2.04,0.06,0,0.13,0.01,0,0,0,0.02,0.06
FALSE,1948-03-23,54,31,0,0.03,2.04,0.06,0,0.13,0.01,0,0,0,0.02
TRUE,1948-03-24,54,36,0.4,0,0.03,2.04,0.06,0,0.13,0.01,0,0,0
TRUE,1948-03-25,50,35,0.33,0.4,0,0.03,2.04,0.06,0,0.13,0.01,0,0
FALSE,1948-03-26,56,36,0,0.33,0.4,0,0.03,2.04,0.06,0,0.13,0.01,0
FALSE,1948-03-27,70,38,0,0,0.33,0.4,0,0.03,2.04,0.06,0,0.13,0.01
FALSE,1948-03-28,64,39,0,0,0,0.33,0.4,0,0.03,2.04,0.06,0,0.13
FALSE,1948-03-29,49,39,0,0,0,0,0.33,0.4,0,0.03,2.04,0.06,0
FALSE,1948-03-30,54,38,0,0,0,0,0,0.33,0.4,0,0.03,2.04,0.06
FALSE,1948-03-31,53,40,0,0,0,0,0,0,0.33,0.4,0,0.03,2.04
TRUE,1948-04-01,46,37,0.17,0,0,0,0,0,0,0.33,0.4,0,0.03
TRUE,1948-04-02,45,33,0.34,0.17,0,0,0,0,0,0,0.33,0.4,0
TRUE,1948-04-03,47,32,0.03,0.34,0.17,0,0,0,0,0,0,0.33,0.4
TRUE,1948-04-04,49,31,0.19,0.03,0.34,0.17,0,0,0,0,0,0,0.33
TRUE,1948-04-05,51,32,0.08,0.19,0.03,0.34,0.17,0,0,0,0,0,0
TRUE,1948-04-06,44,34,0.09,0.08,0.19,0.03,0.34,0.17,0,0,0,0,0
FALSE,1948-04-07,55,30,0,0.09,0.08,0.19,0.03,0.34,0.17,0,0,0,0
TRUE,1948-04-08,59,32,0.11,0,0.09,0.08,0.19,0.03,0.34,0.17,0,0,0
TRUE,1948-04-09,50,39,0.54,0.11,0,0.09,0.08,0.19,0.03,0.34,0.17,0,0
TRUE,1948-04-10,53,38,0.18,0.54,0.11,0,0.09,0.08,0.19,0.03,0.34,0.17,0
FALSE,1948-04-11,51,38,0,0.18,0.54,0.11,0,0.09,0.08,0.19,0.03,0.34,0.17
